Question,Answer
Mikor bocsátható a hallgató záróvizsgára?,A végbizonyítvány megszerzését követően bocsátható záróvizsgára.
Milyen tanácsi határozat fogadta el a szakmai gyakorlat megvalósításának irányelveit a villamosmérnöki BSc képzésben?,A Kari Tanácsi határozat fogadta el.
Milyen hatáskörrel rendelkezik a szabályzat?,"A BME Villamosmérnöki és Informatikai Karán, a villamosmérnöki alapképzési szakon."
Milyen rendelet szabályozza a felsőoktatási szakképzéseket?,18/2016. (VIII. 5.) EMMI rendelet.
Mik a kritériumkövetelmények a szakmai gyakorlatra vonatkozóan?,A képzési és kimeneti követelmények hiányában a kritériumkövetelmény a szakmai gyakorlat.
Milyen törvény szabályozza a szövetkezetekről szóló rendelkezéseket?,2006. évi X. törvény a szövetkezetekről.
Mikor lép életbe a szabályzat?,A szabályzat a Kari Tanács elfogadó határozata után lép életbe.
Milyen szakokon vehetnek részt a hallgatók a szakmai gyakorlaton?,A BME Villamosmérnöki és Informatikai Karán a villamosmérnöki alapképzési szakon és a mérnökinformatikus alapképzési szakon vehetnek részt a hallgatók.
Milyen célja van a szakmai gyakorlatnak?,A szakmai gyakorlat célja az elméleti és gyakorlati ismeretek összekapcsolása és a munkavállalói kompetenciák fejlesztése.
Mennyi ideig tart a szakmai gyakorlat?,"A szakmai gyakorlat lehet hat vagy nyolc hetes, 240 vagy 320 munkaórányi."
Milyen feladatokkal foglalkoznak a hallgatók a szakmai gyakorlaton?,A hallgatók a tanszéki felelős és a gyakorlóhelyi konzulens által meghatározott feladatokat oldanak meg.
Milyen együttműködési megállapodásokat köt a kar a gyakorlóhelyekkel?,"A kar együttműködési megállapodást köt a gyakorlóhelyekkel, kivéve a külföldön végzett gyakorlat esetén."
Milyen együttműködési megállapodást köt a kar az iskolaszövetkezettel?,Az iskolaszövetkezeten keresztül végzett gyakorlat esetén a kar az iskolaszövetkezettel is együttműködési megállapodást köt.
Mikor kell felvenni a szakmai gyakorlat tárgyat?,"A szakmai gyakorlat félévében, nyári gyakorlat esetén a következő őszi félévben."
Milyen témával kapcsolatos feladatokat oldanak meg a hallgatók?,"A hallgatók feladatai kapcsolódhatnak szakdolgozatukhoz, TDK dolgozatukhoz, önálló laboratóriumi feladatukhoz."
Milyen együttműködési megállapodást köt a kar az iskolaszövetkezetekkel?,A kar együttműködési megállapodást köt az iskolaszövetkezetekkel a szakmai gyakorlat szervezésével kapcsolatos feladatok ellátására.
Milyen feladatokat lát el a gyüttműködési megállapodás?,A gyüttműködési megállapodás a szakmai gyakorlat szervezésével kapcsolatos feladatokat látja el.
Melyek a szakmai gyakorlat kezdésének feltételei?,"A szakmai gyakorlatot csak akkor lehet elkezdeni, ha érvényes együttműködési megállapodás van a szakmai gyakorlóhely, az iskolaszövetkezet és a kar között."
Milyen témákat ajánlanak fel a gyakorlóhelyek a hallgatóknak?,"A gyakorlóhelyek olyan témákat ajánlanak fel, amelyek a hallgatók specializációjához vagy az ágazathoz kapcsolódnak."
Hogyan kell jelentkezni a szakmai gyakorlatra?,A jelentkezés menetét a 7. pont tartalmazza.
Hol kell közzétenni a gyakorlóhelyeket és témákat?,A gyakorlóhelyeket és témákat a tanszékek honlapjain kell közzétenni.
Kiknek a feladata a tanszéki szintű téma választás nyilvántartása?,A tanszéki szintű téma választás nyilvántartása a tanszéki szakmaigyakorlat-felelős feladata.
"Milyen feltételeknek kell megfelelni a hallgatónak, hogy maga választhassa meg a gyakorlóhelyét és témáját?",Megfelelő feltételek teljesülése esetén a hallgató maga választhatja meg a gyakorlóhelyét és témáját.
"Hol végezhető a gyakorlat, ha a hallgató maga választja meg a gyakorlóhelyet?","Belföldön csak olyan gyakorlóhelyen végezhető a gyakorlat, amellyel a kar együttműködési megállapodást kötött."
Milyen gyakorlatot lehet végezni az iskolaszövetkezeten keresztül?,"Az iskolaszövetkezeten keresztül csak olyan gyakorlat végezhető, amelyet a 2006. évi X. törvény engedélyez."
Mikor kell felvenni a szakmai gyakorlat tárgyat?,"A szakmai gyakorlat félévében, nyári gyakorlat esetén a következő őszi félévben."
Mikor lehet szakmai gyakorlatot végezni iskolaszövetkezeten keresztül?,A szakmai gyakorlatot iskolaszövetkezeten keresztül lehet végezni az 5. mellékletben meghatározott feltételek mellett.
Milyen dokumentumokat kell kitölteni a gyakorlóhely feladataihoz?,A gyakorlóhelyen a 4. melléklet szerinti feladatlapot kell kitölteni és jóváhagyatni.
Mikor kezdheti meg a hallgató a szakmai gyakorlatot?,"A hallgató csak akkor kezdheti meg a szakmai gyakorlatot, ha a karval és az iskolaszövetkezettel is együttműködési megállapodást kötöttek."
Milyen feltételekkel fogadható el a szakmai gyakorlat?,"A szakmai gyakorlat csak akkor fogadható el, ha a gyakorlat elvégzését igazoló dokumentumokat a gyakorlóhely állítja ki, nem az iskolaszövetkezet."
Milyen dokumentumokat kell benyújtani a külföldi szakmai gyakorlat elkezdése előtt?,A külföldi szakmai gyakorlat elkezdése előtt kérelmet kell benyújtani a kari felelősnek legalább egy hónappal a gyakorlat megkezdése előtt.
Milyen időtartamú lehet a külföldön végzett szakmai gyakorlat?,A külföldön végzett szakmai gyakorlat időtartama általában hat vagy nyolc hét.
Mik a preferált időpontok a szakmai gyakorlat elvégzésére?,Az 5.1-5.3. pontokban részletezett időpontok javasolt preferencia sorrendet jelentenek.
Mikhez kötődik a szakmai gyakorlat?,"A szakmai gyakorlat a választott specializációhoz, a szakdolgozathoz, a TDK dolgozathoz vagy az önálló laboratóriumi témához kötődik."
Mik a szakmai gyakorlat céljai?,"A szakmai gyakorlat célja, hogy a hallgató továbbfejlessze és alkalmazza a szakmai ismereteket és készségeket."
Milyen együttműködési megállapodást kell kötni külföldön végzett szakmai gyakorlat esetén?,"Külföldön végzett szakmai gyakorlat esetén nem kötelező, de lehetséges együttműködési megállapodást kötni."
Milyen időpontokban lehet elvégezni a nyári szakmai gyakorlatot?,"A nyári szakmai gyakorlat hat vagy nyolc hétig, vagy ezeknél hosszabb ideig tarthat, és ajánlott, hogy a vizsgaidőszak utáni hét első munkanapján kezdődjön."
Milyen lehetősége van a hallgatóknak a szorgalmi időszakban a szakmai gyakorlat elvégzésére?,"A hallgatóknak lehetőségük van a szakmai gyakorlat egészének vagy egy részének elvégzésére a szorgalmi időszakban, a specializációra kerülés után."
Mennyi az engedélyezett heti munkamennyiség a szorgalmi időszakban végzett szakmai gyakorlat esetén?,"A maximálisan engedélyezett heti munkamennyiség 20 óra, szigorúan az órarendi elfoglaltságon kívül."
Milyen témákat választhatnak a hallgatók a nyári szakmai gyakorlat során?,"A hallgatók főleg a tanszékek által felajánlott gyakorlóhelyi témák közül választhatnak, de folytathatják önálló laboratóriumi témájukat, készülhetnek a következő félévi szakdolgozat írására, illetve előkészíthetik esetleges TDK dolgozatukat is."
Milyen preferencia sorrendet jelentenek a szakmai gyakorlat időpontjai?,A szakmai gyakorlat 5.1-5.3. pontokban részletezett időpontjai javasolt preferencia sorrendet jelentenek.
Milyen támogatást kell biztosítani a kollégiumi elhelyezéssel kapcsolatban?,A TJSZ 18. § 8. pontja alapján a távoli lakhelyű hallgatók számára biztosítani kell a kollégiumi elhelyezést a Budapesten vagy környékén végzett nyári szakmai gyakorlat idejére.
Milyen intézkedéseket kell tenni vidéki gyakorlóhelyen végzett szakmai gyakorlat esetén?,"Törekedni kell arra, hogy a gyakorlat idejére a gyakorlóhely a hallgatóknak szállást biztosítson, ha a telephely távol esik a hallgató lakhelyétől."
Mikor kezdődik a szakmai gyakorlat a nyári szakmai gyakorlat esetén?,A vizsgaidőszak befejezése utáni hét első munkanapján kezdődik.
Milyen feladatokat kell elvégeznie a hallgatónak a szakmai gyakorlati helyen?,"A szakmai gyakorlati helyen a szakmai gyakorlati feladatokat elvégezze, és azt igazolja, illetve beszámolót készítsen hozzá."
Milyen időpontban kell pótolni a szorgalmi időszakban kiesett szakmai gyakorlati időt?,A szorgalmi időszakban kiesett szakmai gyakorlati időt a pótlási héten kell pótolni.
Milyen témában kell elvégezni a szakmai gyakorlatot?,"A szakmai gyakorlat témájának kapcsolódnia kell a szakdolgozat témájához, de elkülöníthetőnek kell maradnia."
Milyen feltételekkel lehet elvégezni a szakmai gyakorlatot a 7. félév után?,"Ha a hallgató a 7. félév végéig nem végez el szakmai gyakorlatot, akkor lehetősége van azt később is teljesíteni, de csak akkor kap végbizonyítványt, ha teljesíti a gyakorlatot."
Hány hét lehet a szakmai gyakorlat időtartama a megfelelő szakokon?,A szakmai gyakorlat időtartama lehet hat vagy nyolc hét a megfelelő szakokon.
Hogyan kell felvenni a Szakmai gyakorlat tantárgyat a Neptun rendszerben?,"A hallgatónak fel kell vennie a ""Szakmai gyakorlat"" tantárgyat a Neptun rendszerben az általa választott specializáció és ágazat alapján. A gyakorlatot a szorgalmi időszakban befejezett gyakorlat esetén a következő félévben lehet felvenni, míg nyári időszakban befejezett gyakorlat esetén az azt követő őszi félévben."
Honnan lehet letölteni a jelentkezési lapokat és az együttműködési megállapodás mintákat?,"A jelentkezési lapok és az együttműködési megállapodás minták letölthetők a tanszéki vagy kari honlapról. Azokat elektronikusan is lehet leadni. Későn leadott jelentkezések nem fogadhatók el, és nincs lehetőség a szakmai gyakorlat utólagos elfogadására."
Hogyan kell jelentkezni a tanszékek által felkínált gyakorlóhelyeken végzendő gyakorlatra?,"A gyakorlatra a tanszéki felelősnél kell jelentkezni a jelentkezési lap kitöltésével, két héttel a gyakorlat tervezett kezdése előtt. Ha többen jelentkeznek ugyanarra a témára, a tanszéki felelős dönt az érdekeltek bevonásával a téma odaítéléséről."
Hány témát lehet választani a gyakorlat során?,"A gyakorlat során a hallgató legfeljebb 5 témát választhat, amelyeket a tanszéki felelős vagy közvetlenül a gyakorlat során tervezett munkákhoz rendel."
Milyen dokumentumot kell beadni a gyakorlóhely együttműködési megállapodásához?,Az 1. melléklet szerinti kérelmet kell kitölteni és beadni.
Mikor kell beadni a gyakorlóhellyel való együttműködési megállapodást?,Legalább egy héttel a gyakorlat tervezett megkezdése előtt.
Mi történik az együttműködési megállapodás beadása után?,A tanszéki szakmaigyakorlat-felelős előkészíti és eljuttatja a gyakorlóhelynek aláírásra.
Mikor kell leadni a gyakorlati feladatlapot?,A gyakorlati munka megkezdése előtt egy héttel.
Mi tartalmazza a gyakorlati feladatlapot?,A gyakorlóhely adatait és az elvégzendő gyakorlati munka részletes leírását.
Mi történik a feladatlap leadása után?,A tanszéki felelős intézkedik a tanszékvezetői és a dékáni aláíratásról.
Milyen gyakorlati munkákat kell a tanszéki felelőssel közösen összeállítani?,A 4. melléklet szerinti feladatlapon szereplő munkákat.
Mikor kell véglegesíteni a feladatlapot?,A szakmai gyakorlat tervezett megkezdése előtt egy héttel.
Milyen feladatokat kell elvégeznie a hallgatónak a szakmai gyakorlaton?,"A szakmai gyakorlati feladatokat, amelyeket az elvégzés után igazolnia kell."
Milyen határidőre kell beadni az együttműködési megállapodást?,Legalább egy héttel a gyakorlat tervezett megkezdése előtt.
Mik a belföldi szakmai gyakorlóhellyel kapcsolatos teendők?,Kérvényezni kell az együttműködési megállapodás megkötését a tanszéki szakmaigyakorlat-felelősnél.
Milyen időpontban kell benyújtani a kérelmet?,Legalább egy héttel a gyakorlat tervezett megkezdése előtt.
Mi történik a kérelem beadása után?,A tanszéki szakmaigyakorlat-felelős előkészíti az együttműködési megállapodásokat és eljuttatja a gyakorlóhelynek illetve az iskolaszövetkezetnek.
Mikor kell leadni a feladatlapon a gyakorlati munka részletes leírását?,A gyakorlati munka megkezdése előtt egy héttel.
Mik a külföldi szakmai gyakorlatra vonatkozó teendők?,A kari felelősnél kell intézkedni.
Mikor kell felvenni a külföldi szakmai gyakorlat tárgyat?,A következő szemeszterben kell felvenni a tárgyat.
Mik a belföldi szakmai gyakorlatra vonatkozó teendők?,Kérvényezni kell az együttműködési megállapodások megkötését.
Mikor kell leadni a feladatlapon a gyakorlati munka részletes leírását a belföldi szakmai gyakorlat esetén?,A gyakorlati munka megkezdése előtt egy héttel.
Mikor kell leadni a feladatlapon a gyakorlati munka részletes leírását a külföldi szakmai gyakorlat esetén?,A gyakorlati munka megkezdése előtt egy héttel.
Mik a külföldi szakmai gyakorlatra vonatkozó teendők?,A kari felelősnél kell intézkedni.
Milyen határidők vannak a gyakorlati munka leadására?,A feladatlap leadásának határideje a gyakorlati munka megkezdése előtt egy hét.
Mikor kell engedélyeztetni a külföldi szakmai gyakorlatot?,A kérelem beadásának határideje a gyakorlat tervezett megkezdése előtt 1 hónap.
Milyen dokumentumokat kell benyújtani a szakmai gyakorlat engedélyeztetésekor?,A kérelem (6. melléklet) és a feladatlap (4. melléklet) benyújtása szükséges.
Milyen munkákat tartalmaz a feladatlap?,A feladatlap a tanszéki felelős és a gyakorlóhelyi konzulens által összeállított munkákat tartalmazza.
Mire kell a hallgatóknak napra lebontott munkanaplót vezetniük?,A munkanapló vezetése a szakmai gyakorlat alatti munka dokumentálására szolgál.
Ki igazolja a munkanapló hitelességét a szakmai gyakorlat végén?,A munkanapló hitelességét a gyakorlóhelyi konzulens aláírása igazolja.
Ki kell aláírnia a munkanaplót iskolai szövetkezeten keresztüli gyakorlat esetén?,A munkanaplót iskolai szövetkezeten keresztüli gyakorlat esetén is a gyakorlóhelyi konzulensnek kell aláírnia.
Ki felügyeli és irányítja a hallgatókat a szakmai gyakorlat alatt?,A hallgatók a gyakorlóhelyi konzulens felügyelete és irányítása mellett dolgoznak.
Mikre kötelesek a hallgatók a szakmai gyakorlat alatt?,A hallgatóknak kötelesek betartani a gyakorlóhelyi baleset- és munkavédelmi szabályokat.
Milyen nyelven készülhet a beszámoló a szakmai gyakorlat végén?,"A beszámoló bármely oktatási nyelven megírható, előzetes hozzájárulás esetén idegen nyelven is."
Milyen dokumentumokat kell benyújtani a hallgatónak?,"A hallgatónak be kell nyújtania a munkanaplót, a beszámolót és az értékelést a tanszékére."
Milyen határidőt kell figyelembe venni a beadáshoz?,"A beadási határidőt a tanszéki szakmaigyakorlat-felelős határozza meg, figyelembe véve az egyetemi munkarendet."
Melyik személy dönti el a beszámoló elfogadását?,"A beszámoló elfogadásáról a tanszéki felelős dönt, de előtte azt a hallgató tanszéki konzulensével véleményeztetheti."
Milyen feladatokra jelölnek ki a tanszéki szakmaigyakorlat-felelőst?,A tanszéki szakmaigyakorlat-felelőst a szakmai gyakorlattal kapcsolatos feladatok koordinálására jelölik ki.
Milyen dokumentumokat kell előkészíteni és terjeszteni aláírásra a dékán elé?,"Előkészítik, és a dékán elé terjesztik aláírásra a gyakorlóhelyekkel illetve az iskolaszövetkezetekkel kötendő együttműködési megállapodási szerződéseket, szerződésmódosításokat."
Milyen feladatot ellátnak a tanszékek a hallgatók jelentkezésével kapcsolatban?,"A tanszékek fogadják a hallgatók jelentkezését, elvégzik besorolásukat és ellátják őket a munkakezdéshez szükséges információkkal."
Ki jelölheti ki a tanszéki konzulenst a hallgató szakmai gyakorlatának ellenőrzésére?,"A tanszékek jelölhetnek ki tanszéki konzulenst a hallgató szakmai gyakorlatának ellenőrzésére, praktikusan a hallgató szakdolgozat, önálló laboratórium vagy TDK munka témavezetőjét."
Milyen alapján értékelik a szakmai gyakorlatot?,Az írásos beszámolók alapján értékelik a szakmai gyakorlatot.
Mikor igazolhatja a gyakorlóhelyi konzulens a beszámolót?,A gyakorlóhelyi konzulens aláírásával igazolhatja a beszámolót.
