Question;Answer
Milyen szakokra vonatkoznak a tárgykódok?;A tárgykódok a BSc és MSc szintű villamosmérnöki, mérnök informatikus és mechatronikai mérnök szakokra vonatkoznak.
Milyen információkat találhatok a kari honlapon?;A kari honlapon a szakmai gyakorlatról szóló információkat, a munkanapló sablont és a tárgy kódokat találhatod meg.
Hogyan tudom elérni Dr. Blázovics Lászlót?;Dr. Blázovics Lászlót a 463-1648-as telefonszámon, vagy a QB.222-es irodában lehet elérni.
Milyen szakokra vonatkoznak a BSc tárgykódok?;A BSc tárgykódok a villamosmérnöki és mérnök informatikus szakokra vonatkoznak.
Milyen szakokra vonatkoznak az MSc tárgykódok?;Az MSc tárgykódok a villamosmérnöki, mérnök informatikus és mechatronikai mérnök szakokra vonatkoznak.
Hol találhatók a tárgykódok?;A tárgykódok a honlapon találhatók.
Hogyan tudom megtudni, melyik tárgykód melyik szakra vonatkozik?;A tárgykódok mellett szerepel, hogy melyik szakra vonatkoznak.
Milyen szakokra vonatkoznak a 2014 szeptembere előtt kezdett hallgatóknak szóló tárgykódok?;A 2014 szeptembere előtt kezdett hallgatóknak szóló tárgykódok a BSc villamosmérnöki és mérnök informatikus szakokra vonatkoznak.
Milyen szakokra vonatkoznak a 2014 szeptemberében vagy később kezdett hallgatóknak szóló tárgykódok?;A 2014 szeptemberében vagy később kezdett hallgatóknak szóló tárgykódok a BSc villamosmérnöki és mérnök informatikus szakokra vonatkoznak.
Milyen szakokra vonatkoznak a 2015 februárja előtt kezdett hallgatóknak szóló tárgykódok?;A 2015 februárja előtt kezdett hallgatóknak szóló tárgykódok az MSc villamosmérnöki és mérnök informatikus szakokra vonatkoznak.
Milyen szakokra vonatkoznak a 2015 februárjában vagy később kezdett hallgatóknak szóló tárgykódok?;A 2015 februárjában vagy később kezdett hallgatóknak szóló tárgykódok az MSc villamosmérnöki és mérnök informatikus szakokra vonatkoznak.
Mikor változott a szakmai gyakorlat időtartama a villamosmérnöki és mérnökinformatikus alapképzési szakokon?;A szakmai gyakorlat időtartama a villamosmérnöki és mérnökinformatikus alapképzési szakokon 2014 szeptemberében változott.
Hol lehet elvégezni a szakmai gyakorlatot?;A szakmai gyakorlat csak intézményen (BME-n) kívül végezhető.
Mennyi időt kell tölteni szakmai gyakorlaton a villamosmérnöki BSc szakon?;A villamosmérnöki BSc szakon legalább 6 hetet (240 munkaórát) kell tölteni szakmai gyakorlaton.
Milyen feltételeknek kell megfelelni a gyakorlóhelynek a villamosmérnöki BSc szakon?;A gyakorlat csak olyan gyakorlóhelyen végezhető, mellyel a karnak együttműködési megállapodása van és a hallgatóval hallgatói munkaszerződést köt.
Mennyi időt kell tölteni szakmai gyakorlaton a mérnökinformatikus BSc szakon 2014 szeptembere előtt kezdett hallgatók esetén?;2014 szeptembere előtt kezdett hallgatók esetén legalább 6 hetet (240 munkaórát) kell tölteni szakmai gyakorlaton a mérnökinformatikus BSc szakon.
Mennyi időt kell tölteni szakmai gyakorlaton a mérnökinformatikus BSc szakon 2014 szeptemberétől kezdett hallgatók esetén?;2014 szeptemberétől kezdett hallgatók esetén legalább 8 hetet (320 munkaórát) kell tölteni szakmai gyakorlaton a mérnökinformatikus BSc szakon.
Mennyi időt kell tölteni szakmai gyakorlaton a villamosmérnöki MSc szakon?;A villamosmérnöki MSc szakon legalább 4 hetet (160 munkaórát) kell tölteni szakmai gyakorlaton.
Szükséges-e együttműködési megállapodás a karral a villamosmérnöki MSc szakon?;Együttműködési megállapodás megléte a karral nem követelmény, opcionális a villamosmérnöki MSc szakon.
Mennyi időt kell tölteni szakmai gyakorlaton az egészségügyi mérnöki MSc szakon?;Az egészségügyi mérnöki MSc szakon legalább 4 hetet (160 munkaórát) kell tölteni szakmai gyakorlaton.
Szükséges-e együttműködési megállapodás a karral az egészségügyi mérnöki MSc szakon?;Együttműködési megállapodás megléte a karral nem követelmény, opcionális az egészségügyi mérnöki MSc szakon.
Mennyi időt kell tölteni szakmai gyakorlaton a mérnökinformatikus MSc szakon 2015 januárja előtt kezdett hallgatók esetén?;2015 januárja előtt kezdett hallgatók esetén legalább 4 hetet (160 munkaórát) kell tölteni szakmai gyakorlaton a mérnökinformatikus MSc szakon.
Szükséges-e együttműködési megállapodás a karral a mérnökinformatikus MSc szakon 2015 januárja előtt kezdett hallgatók esetén?;Együttműködési megállapodás megléte a karral nem követelmény, opcionális a mérnökinformatikus MSc szakon 2015 januárja előtt kezdett hallgatók esetén.
Mikor változott a szakmai gyakorlat időtartama a mesterképzési szakokon?;A szakmai gyakorlat időtartama a mesterképzési szakokon 2015 januárjában változott.
Milyen feltételeknek kell megfelelni a gyakorlóhelynek a mérnökinformatikus BSc szakon?;A gyakorlat csak olyan gyakorlóhelyen végezhető, mellyel a karnak együttműködési megállapodása van és a hallgatóval hallgatói munkaszerződést köt a mérnökinformatikus BSc szakon.
Milyen feltételeknek kell megfelelni a gyakorlóhelynek a mérnökinformatikus MSc szakon?;A gyakorlat csak olyan gyakorlóhelyen végezhető, mely a hallgatóval hallgatói munkaszerződést köt. Együttműködési megállapodás megléte a karral nem követelmény, opcionális a mérnökinformatikus MSc szakon.
Milyen feltételeknek kell megfelelni a gyakorlóhelynek az egészségügyi mérnöki MSc szakon?;A gyakorlat csak olyan gyakorlóhelyen végezhető, mely a hallgatóval hallgatói munkaszerződést köt. Együttműködési megállapodás megléte a karral nem követelmény, opcionális az egészségügyi mérnöki MSc szakon.
Mennyi a szakmai gyakorlat időtartama a villamosmérnöki BSc szakon?;A villamosmérnöki BSc szakon a szakmai gyakorlat időtartama legalább 6 hét (240 munkaóra).
Mennyi a szakmai gyakorlat időtartama a mérnökinformatikus BSc szakon 2014 szeptembere előtt kezdett hallgatók esetén?;2014 szeptembere előtt kezdett hallgatók esetén a mérnökinformatikus BSc szakon a szakmai gyakorlat időtartama legalább 6 hét (240 munkaóra).
Mennyi a szakmai gyakorlat időtartama a mérnökinformatikus BSc szakon 2014 szeptemberétől kezdett hallgatók esetén?;2014 szeptemberétől kezdett hallgatók esetén a mérnökinformatikus BSc szakon a szakmai gyakorlat időtartama legalább 8 hét (320 munkaóra).
Mennyi a szakmai gyakorlat időtartama a villamosmérnöki MSc szakon?;A villamosmérnöki MSc szakon a szakmai gyakorlat időtartama legalább 4 hét (160 munkaóra).
Mennyi a szakmai gyakorlat időtartama az egészségügyi mérnöki MSc szakon?;Az egészségügyi mérnöki MSc szakon a szakmai gyakorlat időtartama legalább 4 hét (160 munkaóra).
Mennyi a szakmai gyakorlat időtartama a mérnökinformatikus MSc szakon 2015 januárja előtt kezdett hallgatók esetén?;2015 januárja előtt kezdett hallgatók esetén a mérnökinformatikus MSc szakon a szakmai gyakorlat időtartama legalább 4 hét (160 munkaóra).
Mikor javasolt a szakmai gyakorlat kezdése?;A javasolt kezdési időpont: 2023. július 3.
Hány óra a heti maximum a szakmai gyakorlat során?;Szorgalmi időszakban maximum heti 20 óra gyakorlati munka végezhető.
Mi a feltétele a szakmai gyakorlat elfogadásának?;A szakmai gyakorlat elfogadásának feltételei: 15-20 oldalas beszámoló a végzett munkáról, napi bontású, a külső konzulenssel hitelesített munkanapló, a külső konzulens által készített értékelő jelentés.
Hol találhatók a szakmai gyakorlat helyszínei és témái?;A szakmai gyakorlat helyszínei és témái a specializációt gondozó tanszék honlapján a félév közepétől megtekinthetők.
Mikor kell jelentkezni a tanszéki témákra?;A tanszéki témákra a szakmai gyakorlat felelősnél kell jelentkezni legkésőbb a gyakorlat megkezdése előtt két héttel.
Hol kell jelezni a nyári kollégiumi igényt?;A nyári kollégiumi igényt a szakmai gyakorlat felelősnél kell jelezni.
Milyen hosszúságú a szakmai gyakorlat a Mérnökinformatikus MSc szakon 2015 januárjától kezdett hallgatók esetén?;A Mérnökinformatikus MSc szakon 2015 januárjától kezdett hallgatók esetén a szakmai gyakorlat legalább 6 hét (240 munkaóra).
Milyen hosszúságú a szakmai gyakorlat a Gazdaságinformatikus MSc szakon 2015 januárja előtt kezdett hallgatók esetén?;A Gazdaságinformatikus MSc szakon 2015 januárja előtt kezdett hallgatók esetén a szakmai gyakorlat legalább 4 hét (160 munkaóra).
Milyen hosszúságú a szakmai gyakorlat a Gazdaságinformatikus MSc szakon 2015 januárjától kezdett hallgatók esetén?;A Gazdaságinformatikus MSc szakon 2015 januárjától kezdett hallgatók esetén a szakmai gyakorlat legalább 6 hét (240 munkaóra).
Hol lehet a szakmai gyakorlatot végezni?;A szakmai gyakorlatot csak olyan gyakorlóhelyen lehet végezni, mely a hallgatóval hallgatói munkaszerződést köt.
Kötelező-e együttműködési megállapodás a karral?;Az együttműködési megállapodás megléte a karral nem követelmény, opcionális.
Mi történik, ha a választott gyakorlóhellyel nincs még a karnak együttműködési megállapodása?;Saját gyakorlóhely esetén, amennyiben a választott gyakorlóhellyel nincs még a karnak együttműködési megállapodása, a további lépések nem ismertek a szöveg alapján.
Mit jelent, hogy a gyakorlat csak olyan gyakorlóhelyen végezhető, mellyel a karnak együttműködési megállapodása van?;Ez azt jelenti, hogy a gyakorlat csak abban az esetben végezhető egy adott helyen, ha a kar és a gyakorlóhely között létezik együttműködési megállapodás.
Mi a munkaszerződés szerepe a szakmai gyakorlat során?;A munkaszerződés biztosítja, hogy a hallgató és a gyakorlóhely között hivatalos jogviszony álljon fenn a gyakorlat ideje alatt.
Mit kell tartalmaznia a végzett munkáról szóló beszámolónak?;A végzett munkáról szóló beszámolónak 15-20 oldalasnak kell lennie.
Ki hitelesíti a munkanaplót?;A munkanaplót a külső konzulens hitelesíti.
Ki készíti az értékelő jelentést?;Az értékelő jelentést a külső konzulens készíti.
Hogyan lehet jelentkezni a tanszéki témákra?;A tanszéki témákra a tanszéki szakmai gyakorlat felelősnél lehet jelentkezni.
Mikor kell jelentkezni a szakmai gyakorlatra?;A szakmai gyakorlatra legkésőbb a gyakorlat megkezdése előtt két héttel kell jelentkezni.
Mi történik, ha a hallgató saját gyakorlóhelyet választ?;Saját gyakorlóhely esetén, amennyiben a választott gyakorlóhellyel nincs még a karnak együttműködési megállapodása, a további lépések nem ismertek a szöveg alapján.
Hogyan lehet jelezni a nyári kollégiumi igényt?;A nyári kollégiumi igényt a szakmai gyakorlat felelősnél lehet jelezni.
Mikor lehet megtekinteni a szakmai gyakorlat helyszíneit és témáit?;A szakmai gyakorlat helyszínei és témái a félév közepétől megtekinthetők a specializációt gondozó tanszék honlapján.
Milyen követelményeket szabhatnak a tanszékek a heti maximumra?;A tanszékek a heti maximumra ennél szigorúbb követelményeket is szabhatnak.
Mikor kell a szakmai gyakorlat tárgyat felvenni?;A szakmai gyakorlat tárgyat a szakmai gyakorlat félévében, nyári gyakorlat esetén a következő őszi félévben kell felvenni.
Mikor kell jelezni a nyári kollégiumi igényt?;A nyári kollégiumi igényt a szakmai gyakorlat felelősének kell jelezni.
Mikor kell benyújtani a szabályzat 1.sz. mellékletét?;A szabályzat 1.sz. mellékletét a saját gyakorlóhely választása esetén kell benyújtani, ha a karnak és a gyakorlóhelynek nincs még együttműködési megállapodása.
Hogyan kell benyújtani a 1.sz. mellékletet?;Az 1.sz. mellékletet e-mailben kell benyújtani a kari felelősnek.
Mikor kell felvenni a Szakmai gyakorlat tantárgyat a Neptunban?;A Szakmai gyakorlat tantárgyat a gyakorlat elvégzésének félévében kell felvenni a Neptunban.
Hogyan történik a feladatlap kitöltése?;A feladatlapot a szakmai gyakorlóhely tölti ki a témaleírással a tanszéki felelős jóváhagyásával, ellenőrzésével.
Ki szignózza a feladatlapot?;A feladatlapot a gyakorlóhely szignózza.
Ki tölti ki és szignózza az igazolólapot?;Az igazolólapot a gyakorlat elvégzéséről és a munka értékeléséről a gyakorlóhely tölti ki és szignózza.
Ki szignózza a napi bontású munkanaplót?;A napi bontású munkanaplót a gyakorlóhely szignózza.
Ki köti a munkaszerződést?;A munkaszerződést az iskolaszövetkezet köti.
Ki biztosítja a juttatást?;A juttatást az iskolaszövetkezet biztosítja.
Mikor kell fordulni a kari szakmai gyakorlat felelőséhez?;A kari szakmai gyakorlat felelőséhez a gyakorlat megkezdése előtt legalább 1 hónappal kell fordulni.
Ki a kari szakmai gyakorlat felelős?;A kari szakmai gyakorlat felelős dr. Blázovics László.
Milyen esetekben kell együttműködési megállapodást kötni a gyakorlóhellyel?;Együttműködési megállapodást kell kötni a gyakorlóhellyel, ha a gyakorlat valós helyszínével kell, hogy legyen a karnak, ha az adott képzés megköveteli, illetve meg kell kötni, ha nincs.
Mikor kell az 1.sz. mellékletet leadni?;Az 1.sz. mellékletet a kari felelősnek kell leadni, ha együttműködési megállapodást szeretnénk kötni a gyakorlóhellyel.
Mikor kell ellenőrizni, hogy van-e már a karnak érvényes megállapodása a gyakorlóhellyel?;Az 1.sz. melléklet leadása előtt kell ellenőrizni, hogy van-e már a karnak érvényes megállapodása a gyakorlóhellyel.
Mikor kell a szakmai gyakorlat tantárgyat felvenni a Neptunban, ha a gyakorlat az őszi szorgalmi időszakon túlnyúlik?;Ha a gyakorlat az őszi szorgalmi időszakon túlnyúlik, akkor a tavaszi félévben kell felvenni a Szakmai gyakorlat tantárgyat a Neptunban.
Hogyan történik a gyakorlati munka értékelése?;A gyakorlati munka értékelését a gyakorlóhely végzi, az igazolólap kitöltésével.
Ki köti meg a munkaszerződést, ha a gyakorlatot iskolaszövetkezeten keresztül végzik?;Ha a gyakorlatot iskolaszövetkezeten keresztül végzik, a munkaszerződést az iskolaszövetkezet köti meg.
Ki biztosítja a juttatást, ha a gyakorlatot iskolaszövetkezeten keresztül végzik?;Ha a gyakorlatot iskolaszövetkezeten keresztül végzik, a juttatást az iskolaszövetkezet biztosítja.
Mikor kell a gyakorlat megkezdése előtt fordulni a kari szakmai gyakorlat felelőshöz?;A gyakorlat megkezdése előtt legalább 1 hónappal kell fordulni a kari szakmai gyakorlat felelőshöz.
Hogyan lehet elérni a kari szakmai gyakorlat felelőst?;A kari szakmai gyakorlat felelőst a blazovics.laszlo@vik.bme.hu e-mail címen lehet elérni.
Milyen esetekben kell a 2. sz. kérelmet benyújtani?;A 2.sz. kérelmet csak villamosmérnöki és egészségügyi mérnöki MSc szakokon kell benyújtani.
Kihez kell fordulni a gyakorlat megkezdése előtt?;A gyakorlat megkezdése előtt dr. Blázovics Lászlóhoz kell fordulni.
Mikor kell a gyakorlatot megkezdeni?;A gyakorlatot legalább 1 hónappal a megkezdése előtt kell bejelenteni.
Milyen szakokon kell leadni a 2.sz. kérelmet?;A 2.sz. kérelmet csak a villamosmérnöki és egészségügyi mérnöki MSc szakokon kell leadni.
Mikor van a legkésőbbi időpont a 2.sz. kérelem leadására?;A 2.sz. kérelem legkésőbbi leadási időpontja 2023. július 28.
Milyen formában lehet a kérelmet leadni?;A kérelmet elektronikusan, beszkennelve az aláírt változatot lehet leadni.
Mikor kell a gyakorlatot bejelenteni?;A gyakorlatot legalább 1 hónappal a megkezdése előtt kell bejelenteni.
Mikor kell a kérelmet leadni?;A kérelmet a nyári időszakra, legkésőbb 2023. július 28-ig kell leadni.
Hogyan lehet a kérelmet elektronikusan beküldeni?;A kérelmet beszkennelve, az aláírt változatot kell elektronikusan beküldeni.
Milyen időszakra vonatkozik a kérelem leadásának határideje?;A kérelem leadásának határideje a nyári időszakra vonatkozik.
Ki a kapcsolattartó a gyakorlat megkezdése előtt?;A gyakorlat megkezdése előtt a kapcsolattartó dr. Blázovics László.
Hogyan kell a kérelmet aláírni?;A kérelmet aláírva, majd beszkennelve kell beküldeni.
Mi a határideje a gyakorlat bejelentésének?;A gyakorlat bejelentésének határideje legalább 1 hónappal a megkezdése előtt van.
Mikor kell a gyakorlatot legkésőbb bejelenteni?;A gyakorlatot legalább 1 hónappal a megkezdése előtt kell legkésőbb bejelenteni.
Mikor van a határidő a kérelem leadására?;A kérelem leadásának határideje 2023. július 28.
Milyen szakokon kell a kérelmet leadni?;A kérelmet a villamosmérnöki és egészségügyi mérnöki MSc szakokon kell leadni.
Hogyan kell a kérelmet beküldeni?;A kérelmet beszkennelve, az aláírt változatot kell beküldeni.
Mikor kell a kérelmet legkésőbb leadni?;A kérelmet legkésőbb 2023. július 28-ig kell leadni.
Hogyan lehet kapcsolatba lépni a gyakorlat felelősével?;A gyakorlat felelősével az alábbi e-mail címen lehet kapcsolatba lépni: blazovics.laszlo@vik.bme.hu.
Mikor érvényes az alapképzés szakmai gyakorlatának szabályzata?;A szabályzat érvényes a tanulmányaikat 2014 szeptemberében vagy azután kezdett hallgatók esetére.
Mikor fogadta el a Kari Tanács a szabályzatot?;A Kari Tanács 2008. január 15-i ülésén fogadta el a szabályzatot.
Mikor módosították a szabályzatot?;A szabályzatot 2017. március 21-i ülésén módosították.
Milyen jogszabályok és dokumentumok kapcsolódnak a szabályzathoz?;A szabályzathoz kapcsolódó jogszabályok és dokumentumok a tartalomjegyzék 1. pontjában találhatók.
Mi a szabályzat hatásköre?;A szabályzat hatásköre a tartalomjegyzék 2. pontjában található.
Mi a szakmai gyakorlat célja?;A szakmai gyakorlat célja a tartalomjegyzék 3. pontjában található.
Hol és milyen témában lehet a szakmai gyakorlatot végezni?;A szakmai gyakorlat gyakorlóhelyei és témái a tartalomjegyzék 4. pontjában találhatók.
Mikor lehet a szakmai gyakorlatot végezni?;A szakmai gyakorlat időpontjai a tartalomjegyzék 5. pontjában találhatók.
Hogyan lehet a szakmai gyakorlatot felvenni a Neptun rendszerben?;A szakmai gyakorlat felvételének módja a Neptun rendszerben a tartalomjegyzék 6. pontjában található.
Hogyan lehet jelentkezni a szakmai gyakorlatra?;A szakmai gyakorlatra való jelentkezés menete a tartalomjegyzék 7. pontjában található.
Hogyan kell végrehajtani a szakmai gyakorlatot?;A szakmai gyakorlat végrehajtásának módja a tartalomjegyzék 8. pontjában található.
Hogyan történik a szakmai gyakorlat elfogadása és értékelése?;A szakmai gyakorlat elfogadásának és értékelésének módja a tartalomjegyzék 9. pontjában található.
Mik a tanszékek feladatai a szakmai gyakorlat kapcsán?;A tanszékek feladatai a szakmai gyakorlat kapcsán a tartalomjegyzék 10. pontjában találhatók.
Mik a kari szakmaigyakorlat-felelős feladatai?;A kari szakmaigyakorlat-felelős feladatai a tartalomjegyzék 11. pontjában találhatók.
Mik a mellékletek a szabályzathoz?;A szabályzat mellékletei a dokumentum végén találhatók.
Hogyan lehet kérelmezni együttműködési megállapodás megkötését?;Együttműködési megállapodás megkötését a mellékletekben található 1. számú kérelem segítségével lehet kérelmezni.
Hogyan lehet kérelmezni a hallgató által megjelölt téma és gyakorlóhely elfogadását?;A hallgató által megjelölt téma és gyakorlóhely elfogadását a mellékletekben található 2. számú kérelem segítségével lehet kérelmezni.
Hogyan lehet jelentkezni a tanszék által meghirdetett témára és gyakorlóhelyre?;A tanszék által meghirdetett témára és gyakorlóhelyre a mellékletekben található 3. számú jelentkezési lap segítségével lehet jelentkezni.
Hogyan lehet feladatlapot készíteni a szakmai gyakorlaton elvégzendő munkához?;Feladatlapot a szakmai gyakorlaton elvégzendő munkához a mellékletekben található 4. számú feladatlap segítségével lehet készíteni.
Hogyan lehet igazolást kapni a szakmai gyakorlat elvégzéséről?;Igazolást a szakmai gyakorlat elvégzéséről a mellékletekben található 5. számú igazoló lap segítségével lehet kapni.
Hogyan lehet kérelmezni külföldi szakmai gyakorlat elvégzését?;Külföldi szakmai gyakorlat elvégzését a mellékletekben található 6. számú kérelem segítségével lehet kérelmezni.
Mikor bocsátható a hallgató záróvizsgára?;A hallgató a végbizonyítvány megszerzését követően bocsátható záróvizsgára.
Milyen rendelet szabályozza a felsőoktatási szakképzést?;A Kormány 230/2012. (VIII. 28.) Korm. rendelete szabályozza a felsőoktatási szakképzést.
Milyen törvény szabályozza a szakképzési hozzájárulást?;2011. évi CLV. Törvény szabályozza a szakképzési hozzájárulást.
Milyen törvény szabályozza a szövetkezeteket?;2006. évi X. törvény szabályozza a szövetkezeteket.
Milyen rendelet szabályozza a képzési és kimeneti követelményeket?;18/2016. (VIII. 5.) EMMI rendelet szabályozza a képzési és kimeneti követelményeket.
Mennyi időtartamú a szakmai gyakorlat a villamosmérnöki alapképzési szakon?;A szakmai gyakorlat a villamosmérnöki alapképzési szakon legalább hat hét időtartamú.
Mennyi időtartamú a szakmai gyakorlat a mérnökinformatikus alapképzési szakon?;A szakmai gyakorlat a mérnökinformatikus alapképzési szakon legalább nyolc hét időtartamú.
Mikor lett elfogadva a Kari Tanácsi határozat a villamosmérnöki BSc képzés szakmai gyakorlatának megvalósításáról?;A Kari Tanácsi határozat a villamosmérnöki BSc képzés szakmai gyakorlatának megvalósításáról 2007. június 26-án lett elfogadva.
Mikor lett elfogadva a Kari Tanácsi határozat a Villamosmérnöki Szakon a szakmai gyakorlat lebonyolításának előkészületeiről?;A Kari Tanácsi határozat a Villamosmérnöki Szakon a szakmai gyakorlat lebonyolításának előkészületeiről 2007. november 13-án lett elfogadva.
Mire terjed ki a szabályzat hatásköre?;A szabályzat hatásköre kiterjed a BME Villamosmérnöki és Informatikai Karán a villamosmérnöki alapképzési szakon.
Milyen a szakmai gyakorlat kritérium követelménye?;A szakmai gyakorlat kritérium követelmény a képzési és kimeneti követelmények eltérő rendelkezésének hiányában.
Mennyi időtartamú a szakmai gyakorlat?;A szakmai gyakorlat időtartama függ a képzéstől, a villamosmérnöki alapképzési szakon legalább hat hét, mérnökinformatikus alapképzési szakon legalább nyolc hét.
Hogyan szervezett a szakmai gyakorlat?;A szakmai gyakorlat szakmai gyakorlóhelyen szervezett gyakorlat.
Mikor hatályos a BME tanulmányi és vizsgaszabályzata?;A BME tanulmányi és vizsgaszabályzata 2017.03.01-én hatályos.
Mikor állít ki végbizonyítványt a hallgató?;A végbizonyítványt a hallgató a szakmai gyakorlat befejezése után állítja ki.
Milyen a szakmai gyakorlat szervezése a BME-n?;A szakmai gyakorlat szervezése a BME-n szakmai gyakorlóhelyen történik.
Milyen képzési és kimeneti követelmények vannak a BME-n?;A képzési és kimeneti követelmények a BME-n a 18/2016. (VIII. 5.) EMMI rendelet szerint történnek.
Mikor kell megszerezni a végbizonyítványt?;A végbizonyítványt a záróvizsga előtt kell megszerezni.
Mikor bocsátható a hallgató záróvizsgára a BME-n?;A hallgató a BME-n a végbizonyítvány megszerzését követően bocsátható záróvizsgára.
Mikor van a szakmai gyakorlat a villamosmérnöki alapképzési szakon?;A szakmai gyakorlat időpontja a villamosmérnöki alapképzési szakon a képzési tervben van meghatározva.
Mikor van a szakmai gyakorlat a mérnökinformatikus alapképzési szakon?;A szakmai gyakorlat időpontja a mérnökinformatikus alapképzési szakon a képzési tervben van meghatározva.
Mennyi idő a szakmai gyakorlat a BME-n?;A szakmai gyakorlat időtartama a BME-n függ a képzéstől, a villamosmérnöki alapképzési szakon legalább hat hét, mérnökinformatikus alapképzési szakon legalább nyolc hét.
Mikor kell a végbizonyítványt kiállítani?;A végbizonyítványt a szakmai gyakorlat befejezése után kell kiállítani.
Mikor kell a szakmai gyakorlatot elvégezni?;A szakmai gyakorlatot a képzési tervben meghatározott időpontban kell elvégezni.
Mikor fogadták el a szabályzatot?;A szabályzatot 2007. november 13-án fogadták el.
