Question,Answer
Miből áll a szakmai gyakorlat?,"A szakmai gyakorlat az előírt munkaórák teljesítéséből, feladatok elvégzéséből és dokumentáció készítéséből áll."
Milyen teendők vannak az aktuális szakmai gyakorlat során?,"Az aktuális szakmai gyakorlat során fel kell venni a megfelelő tárgyat, el kell végezni a szakmai gyakorlati feladatokat, és dokumentumokat kell feltölteni a megfelelő oldalon."
Mikor kezdődik az év nyári szakmai gyakorlata?,A nyári szakmai gyakorlat a vizsgaidőszak végeztével kezdődik.
"Milyen teendők vannak, ha a szakmai gyakorlatot már teljesítettem a tavaszi félévben?","Ha a tavaszi félévben teljesítetted a szakmai gyakorlatot, akkor a szorgalmi időszak végéig töltsd fel a dokumentumokat a Témáim oldalon keresztül."
Hogyan találhatom meg a szakmai gyakorlathoz kapcsolódó témákat?,"A Témák oldalon találhatók meg a szakmai gyakorlathoz kapcsolódó témák, amelyek közül választani lehet."
Mennyi időtartama van a szakmai gyakorlatnak a Villamosmérnöki B.Sc. szakon?,A Villamosmérnöki B.Sc. szakon legalább 6 hét (240 munkaóra) tart a szakmai gyakorlat.
Mennyi időtartama van a szakmai gyakorlatnak a Mérnökinformatikus B.Sc. szakon 2014. szeptembere előtt kezdett hallgatóknak?,A Mérnökinformatikus B.Sc. szakon 2014. szeptembere előtt kezdett hallgatók esetén legalább 6 hét (240 munkaóra) tart a szakmai gyakorlat.
Mennyi időtartama van a szakmai gyakorlatnak a Villamosmérnöki M.Sc. szakon?,A Villamosmérnöki M.Sc. szakon legalább 4 hét (160 munkaóra) tart a szakmai gyakorlat.
Mennyi időtartama van a szakmai gyakorlatnak a Mérnökinformatikus M.Sc. szakon 2015. januárja előtt kezdett hallgatóknak?,A Mérnökinformatikus M.Sc. szakon 2015. januárja előtt kezdett hallgatók esetén legalább 4 hét (160 munkaóra) tart a szakmai gyakorlat.
Mikor lehet végezni a szakmai gyakorlatot az iskolaszövetkezet közvetítésével?,"A szakmai gyakorlat harmadik, közvetítő félen (iskolaszövetkezet) csak abban az esetben végezhető, amennyiben a tényleges gyakorlóhely igazolja le a hallgató munkáját és mind az iskolaszövetkezet, mind a cég érvényes keretmegállapodással rendelkezik."
Milyen információkat tartalmaz a tájékoztató?,A tájékoztató a szakmai gyakorlattal kapcsolatos legfontosabb információkat tartalmazza.
Hol találhatók hasznos linkek a szakmai gyakorlattal kapcsolatban?,A kari honlapon találhatók hasznos linkek a szakmai gyakorlattal kapcsolatos információkhoz.
Milyen tárgy kódok vannak a BSc-s hallgatók számára?,"A 2014 szeptembere előtt kezdett hallgatóknak VIAUASZ3 a BSc villamosmérnöki szakhoz, VIAUAS14 a BSc mérnök informatikus szakhoz. A 2014 szeptemberétől kezdett hallgatóknak VIAUAS01 a BSc villamosmérnöki szakhoz, VIAUAS00 a BSc mérnök informatikus szakhoz."
Milyen tárgy kódok vannak a MSc-s hallgatók számára?,"A 2015 februárja előtt kezdett hallgatóknak VIAUMSZ7 a MSc villamosmérnöki szakhoz, VIAUMS02 a MSc mérnök informatikus szakhoz. A 2015 februárjától kezdett hallgatóknak VIAUMS01 a MSc villamosmérnöki szakhoz, VIAUMS00 a MSc mérnök informatikus szakhoz."
Milyen tárgy kódja van a mechatronikai mérnök szaknak?,A mechatronikai mérnök szak hallgatóinak VIAUM018 a tárgy kódja.
Ki a tanszéki felelős a szakmai gyakorlattal kapcsolatban?,Dr. Blázovics László a tanszéki felelős.
Milyen elérhetősége van a tanszéki felelősnek?,A tanszéki felelős a QB.222. irodában található és a 463-1648-as telefonszámon érhető el.
Milyen jogszabályok és dokumentumok kapcsolódnak a szabályzathoz?,A 2011. évi CCIV. törvény a nemzeti felsőoktatásról és a Kormány 230/2012. (VIII) rendelete.
Milyen céllal végezhető a szakmai gyakorlat?,"A szakmai gyakorlat célja, hogy a hallgatók a tanulmányaik során megszerzett elméleti tudást gyakorlati környezetben alkalmazzák és tapasztalatokat szerezzenek."
Milyen helyeken és témákon végezhető a szakmai gyakorlat?,"A szakmai gyakorlatot különböző gyakorlóhelyeken és témákon lehet elvégezni, amelyeket a tanszékek hirdetnek meg."
Mikor van lehetőség tárgyfelvételre a szakmai gyakorlatra?,"A szakmai gyakorlat félévében, nyári gyakorlat esetén a következő őszi félévben van lehetőség tárgyfelvételre."
Hogyan lehet jelentkezni a szakmai gyakorlatra?,A jelentkezéshez kitöltött jelentkezési lapot kell benyújtani a tanszéknek.
Hogyan zajlik a szakmai gyakorlat végrehajtása?,"A hallgatónak a szakmai gyakorlati helyen a szakmai gyakorlati feladatokat kell elvégeznie, és azt igazolnia, illetve beszámolót kell készítenie hozzá."
Hogyan történik a szakmai gyakorlat elfogadása és értékelése?,"A hallgatónak be kell számolnia a szakmai gyakorlati tevékenységről, és az azt végző oktató által történik az elfogadás és értékelés."
Milyen feladatokat lát el a tanszék a szakmai gyakorlat során?,"A tanszék feladatai közé tartozik a szakmai gyakorlati helyek meghirdetése, a jelentkezések elbírálása és a szakmai gyakorlat végrehajtásának koordinálása."
Milyen feladatokkal rendelkezik a kari szakmaigyakorlat-felelős?,"A kari szakmaigyakorlat-felelős feladatai közé tartozik a hallgatók tájékoztatása, a jelentkezések dokumentációjának kezelése és az együttműködési megállapodások megkötése."
Mennyi ideig tart a mérnökinformatikus alapképzési szak szakmai gyakorlata?,Legalább nyolc hét időtartamú.
Melyik törvény szabályozza a szakképzési hozzájárulást és a képzés fejlesztését?,2011. évi CLV. törvény.
Milyen tanácsi határozat fogadta el a szakmai gyakorlat megvalósításának irányelveit a villamosmérnöki BSc képzésben?,A Kari Tanácsi határozat fogadta el.
Milyen hatáskörrel rendelkezik a szabályzat?,"A BME Villamosmérnöki és Informatikai Karán, a villamosmérnöki alapképzési szakon."
Milyen rendelet szabályozza a felsőoktatási szakképzéseket?,18/2016. (VIII. 5.) EMMI rendelet.
Mik a kritériumkövetelmények a szakmai gyakorlatra vonatkozóan?,A képzési és kimeneti követelmények hiányában a kritériumkövetelmény a szakmai gyakorlat.
Milyen törvény szabályozza a szövetkezetekről szóló rendelkezéseket?,2006. évi X. törvény a szövetkezetekről.
Mikor lép életbe a szabályzat?,A szabályzat a Kari Tanács elfogadó határozata után lép életbe.
Milyen szakokon vehetnek részt a hallgatók a szakmai gyakorlaton?,A BME Villamosmérnöki és Informatikai Karán a villamosmérnöki alapképzési szakon és a mérnökinformatikus alapképzési szakon vehetnek részt a hallgatók.
Milyen célja van a szakmai gyakorlatnak?,A szakmai gyakorlat célja az elméleti és gyakorlati ismeretek összekapcsolása és a munkavállalói kompetenciák fejlesztése.
Mennyi ideig tart a szakmai gyakorlat?,"A szakmai gyakorlat lehet hat vagy nyolc hetes, 240 vagy 320 munkaórányi."
Milyen feladatokkal foglalkoznak a hallgatók a szakmai gyakorlaton?,A hallgatók a tanszéki felelős és a gyakorlóhelyi konzulens által meghatározott feladatokat oldanak meg.
Milyen együttműködési megállapodásokat köt a kar a gyakorlóhelyekkel?,"A kar együttműködési megállapodást köt a gyakorlóhelyekkel, kivéve a külföldön végzett gyakorlat esetén."
Milyen együttműködési megállapodást köt a kar az iskolaszövetkezettel?,Az iskolaszövetkezeten keresztül végzett gyakorlat esetén a kar az iskolaszövetkezettel is együttműködési megállapodást köt.
Mikor kell felvenni a szakmai gyakorlat tárgyat?,"A szakmai gyakorlat félévében, nyári gyakorlat esetén a következő őszi félévben."
Milyen témával kapcsolatos feladatokat oldanak meg a hallgatók?,"A hallgatók feladatai kapcsolódhatnak szakdolgozatukhoz, TDK dolgozatukhoz, önálló laboratóriumi feladatukhoz."
Milyen együttműködési megállapodást köt a kar az iskolaszövetkezetekkel?,A kar együttműködési megállapodást köt az iskolaszövetkezetekkel a szakmai gyakorlat szervezésével kapcsolatos feladatok ellátására.
Milyen feladatokat lát el a gyüttműködési megállapodás?,A gyüttműködési megállapodás a szakmai gyakorlat szervezésével kapcsolatos feladatokat látja el.
Melyek a szakmai gyakorlat kezdésének feltételei?,"A szakmai gyakorlatot csak akkor lehet elkezdeni, ha érvényes együttműködési megállapodás van a szakmai gyakorlóhely, az iskolaszövetkezet és a kar között."
Milyen témákat ajánlanak fel a gyakorlóhelyek a hallgatóknak?,"A gyakorlóhelyek olyan témákat ajánlanak fel, amelyek a hallgatók specializációjához vagy az ágazathoz kapcsolódnak."
Hol kell közzétenni a gyakorlóhelyeket és témákat?,A gyakorlóhelyeket és témákat a tanszékek honlapjain kell közzétenni.
Kiknek a feladata a tanszéki szintű téma választás nyilvántartása?,A tanszéki szintű téma választás nyilvántartása a tanszéki szakmaigyakorlat-felelős feladata.
"Milyen feltételeknek kell megfelelni a hallgatónak, hogy maga választhassa meg a gyakorlóhelyét és témáját?",Megfelelő feltételek teljesülése esetén a hallgató maga választhatja meg a gyakorlóhelyét és témáját.
"Hol végezhető a gyakorlat, ha a hallgató maga választja meg a gyakorlóhelyet?","Belföldön csak olyan gyakorlóhelyen végezhető a gyakorlat, amellyel a kar együttműködési megállapodást kötött."
Milyen gyakorlatot lehet végezni az iskolaszövetkezeten keresztül?,"Az iskolaszövetkezeten keresztül csak olyan gyakorlat végezhető, amelyet a 2006. évi X. törvény engedélyez."
Mikor kell felvenni a szakmai gyakorlat tárgyat?,"A szakmai gyakorlat félévében, nyári gyakorlat esetén a következő őszi félévben."
Mikor lehet szakmai gyakorlatot végezni iskolaszövetkezeten keresztül?,A szakmai gyakorlatot iskolaszövetkezeten keresztül lehet végezni az 5. mellékletben meghatározott feltételek mellett.
Milyen dokumentumokat kell kitölteni a gyakorlóhely feladataihoz?,A gyakorlóhelyen a 4. melléklet szerinti feladatlapot kell kitölteni és jóváhagyatni.
Mikor kezdheti meg a hallgató a szakmai gyakorlatot?,"A hallgató csak akkor kezdheti meg a szakmai gyakorlatot, ha a karval és az iskolaszövetkezettel is együttműködési megállapodást kötöttek."
Milyen feltételekkel fogadható el a szakmai gyakorlat?,"A szakmai gyakorlat csak akkor fogadható el, ha a gyakorlat elvégzését igazoló dokumentumokat a gyakorlóhely állítja ki, nem az iskolaszövetkezet."
Milyen dokumentumokat kell benyújtani a külföldi szakmai gyakorlat elkezdése előtt?,A külföldi szakmai gyakorlat elkezdése előtt kérelmet kell benyújtani a kari felelősnek legalább egy hónappal a gyakorlat megkezdése előtt.
Milyen időtartamú lehet a külföldön végzett szakmai gyakorlat?,A külföldön végzett szakmai gyakorlat időtartama általában hat vagy nyolc hét.
Mikhez kötődik a szakmai gyakorlat?,"A szakmai gyakorlat a választott specializációhoz, a szakdolgozathoz, a TDK dolgozathoz vagy az önálló laboratóriumi témához kötődik."
Mik a szakmai gyakorlat céljai?,"A szakmai gyakorlat célja, hogy a hallgató továbbfejlessze és alkalmazza a szakmai ismereteket és készségeket."
Milyen együttműködési megállapodást kell kötni külföldön végzett szakmai gyakorlat esetén?,"Külföldön végzett szakmai gyakorlat esetén nem kötelező, de lehetséges együttműködési megállapodást kötni."
Milyen időpontokban lehet elvégezni a nyári szakmai gyakorlatot?,"A nyári szakmai gyakorlat hat vagy nyolc hétig, vagy ezeknél hosszabb ideig tarthat, és ajánlott, hogy a vizsgaidőszak utáni hét első munkanapján kezdődjön."
Milyen lehetősége van a hallgatóknak a szorgalmi időszakban a szakmai gyakorlat elvégzésére?,"A hallgatóknak lehetőségük van a szakmai gyakorlat egészének vagy egy részének elvégzésére a szorgalmi időszakban, a specializációra kerülés után."
Mennyi az engedélyezett heti munkamennyiség a szorgalmi időszakban végzett szakmai gyakorlat esetén?,"A maximálisan engedélyezett heti munkamennyiség 20 óra, szigorúan az órarendi elfoglaltságon kívül."
Milyen témákat választhatnak a hallgatók a nyári szakmai gyakorlat során?,"A hallgatók főleg a tanszékek által felajánlott gyakorlóhelyi témák közül választhatnak, de folytathatják önálló laboratóriumi témájukat, készülhetnek a következő félévi szakdolgozat írására, illetve előkészíthetik esetleges TDK dolgozatukat is."
Milyen támogatást kell biztosítani a kollégiumi elhelyezéssel kapcsolatban?,A TJSZ 18. § 8. pontja alapján a távoli lakhelyű hallgatók számára biztosítani kell a kollégiumi elhelyezést a Budapesten vagy környékén végzett nyári szakmai gyakorlat idejére.
Milyen intézkedéseket kell tenni vidéki gyakorlóhelyen végzett szakmai gyakorlat esetén?,"Törekedni kell arra, hogy a gyakorlat idejére a gyakorlóhely a hallgatóknak szállást biztosítson, ha a telephely távol esik a hallgató lakhelyétől."
Mikor kezdődik a szakmai gyakorlat a nyári szakmai gyakorlat esetén?,"A vizsgaidőszak befejezése utáni hét első munkanapján javasolt kezdeni, de lehet előbb is."
Milyen feladatokat kell elvégeznie a hallgatónak a szakmai gyakorlati helyen?,"A szakmai gyakorlati helyen a szakmai gyakorlati feladatokat elvégezze, és azt igazolja, illetve beszámolót készítsen hozzá."
Milyen időpontban kell pótolni a szorgalmi időszakban kiesett szakmai gyakorlati időt?,A szorgalmi időszakban kiesett szakmai gyakorlati időt a pótlási héten kell pótolni.
Milyen témában kell elvégezni a szakmai gyakorlatot?,"A szakmai gyakorlat témájának kapcsolódnia kell a szakdolgozat témájához, de elkülöníthetőnek kell maradnia."
Milyen feltételekkel lehet elvégezni a szakmai gyakorlatot a 7. félév után?,"Ha a hallgató a 7. félév végéig nem végez el szakmai gyakorlatot, akkor lehetősége van azt később is teljesíteni, de csak akkor kap végbizonyítványt, ha teljesíti a gyakorlatot."
Hogyan kell felvenni a Szakmai gyakorlat tantárgyat a Neptun rendszerben?,"A hallgatónak fel kell vennie a ""Szakmai gyakorlat"" tantárgyat a Neptun rendszerben az általa választott specializáció és ágazat alapján. A gyakorlatot a szorgalmi időszakban befejezett gyakorlat esetén az adott félévben lehet felvenni, míg nyári időszakban befejezett gyakorlat esetén az azt követő őszi félévben."
Honnan lehet letölteni a jelentkezési lapokat és az együttműködési megállapodás mintákat?,"A jelentkezési lapok és az együttműködési megállapodás minták letölthetők a tanszéki vagy kari honlapról. Azokat elektronikusan is lehet leadni. Későn leadott jelentkezések nem fogadhatók el, és nincs lehetőség a szakmai gyakorlat utólagos elfogadására."
Hogyan kell jelentkezni a tanszékek által felkínált gyakorlóhelyeken végzendő gyakorlatra?,"A gyakorlatra a tanszéki felelősnél kell jelentkezni a jelentkezési lap kitöltésével, két héttel a gyakorlat tervezett kezdése előtt. Ha többen jelentkeznek ugyanarra a témára, a tanszéki felelős dönt az érdekeltek bevonásával a téma odaítéléséről."
Hány témát lehet választani a gyakorlat során?,"A gyakorlat során a hallgató legfeljebb 5 témát választhat, amelyeket a tanszéki felelős vagy közvetlenül a gyakorlat során tervezett munkákhoz rendel."
Milyen dokumentumot kell beadni a gyakorlóhely együttműködési megállapodásához?,Az 1. melléklet szerinti kérelmet kell kitölteni és beadni.
Mi történik az együttműködési megállapodás beadása után?,A tanszéki szakmaigyakorlat-felelős előkészíti és eljuttatja a gyakorlóhelynek aláírásra.
Mikor kell leadni a gyakorlati feladatlapot?,A gyakorlati munka megkezdése előtt egy héttel.
Mi tartalmazza a gyakorlati feladatlapot?,A gyakorlóhely adatait és az elvégzendő gyakorlati munka részletes leírását.
Mi történik a feladatlap leadása után?,A tanszéki felelős intézkedik a tanszékvezetői és a dékáni aláíratásról.
Milyen gyakorlati munkákat kell a tanszéki felelőssel közösen összeállítani?,A 4. melléklet szerinti feladatlapon szereplő munkákat.
Mikor kell véglegesíteni a feladatlapot?,A szakmai gyakorlat tervezett megkezdése előtt egy héttel.
Milyen feladatokat kell elvégeznie a hallgatónak a szakmai gyakorlaton?,"A szakmai gyakorlati feladatokat, amelyeket az elvégzés után igazolnia kell."
Milyen határidőre kell beadni az együttműködési megállapodást?,Legalább egy héttel a gyakorlat tervezett megkezdése előtt.
Mik a belföldi szakmai gyakorlóhellyel kapcsolatos teendők?,Kérvényezni kell az együttműködési megállapodás megkötését a tanszéki szakmaigyakorlat-felelősnél.
Milyen időpontban kell benyújtani a kérelmet?,Legalább egy héttel a gyakorlat tervezett megkezdése előtt.
Mi történik a kérelem beadása után?,A tanszéki szakmaigyakorlat-felelős előkészíti az együttműködési megállapodásokat és eljuttatja a gyakorlóhelynek illetve az iskolaszövetkezetnek.
Mikor kell leadni a feladatlapon a gyakorlati munka részletes leírását?,A gyakorlati munka megkezdése előtt egy héttel.
Mikor kell felvenni a külföldi szakmai gyakorlat tárgyat?,A következő szemeszterben kell felvenni a tárgyat.
Mik a belföldi szakmai gyakorlatra vonatkozó teendők?,Kérvényezni kell az együttműködési megállapodások megkötését.
Mikor kell leadni a feladatlapon a gyakorlati munka részletes leírását a belföldi szakmai gyakorlat esetén?,A gyakorlati munka megkezdése előtt egy héttel.
Mik a külföldi szakmai gyakorlatra vonatkozó teendők?,A kari felelősnél kell kérelmet beadni.
Milyen határidők vannak a gyakorlati munka leadására?,A feladatlap leadásának határideje a gyakorlati munka megkezdése előtt egy hét.
Mikor kell engedélyeztetni a külföldi szakmai gyakorlatot?,A kérelem beadásának határideje a gyakorlat tervezett megkezdése előtt 1 hónap.
Milyen dokumentumokat kell benyújtani a szakmai gyakorlat engedélyeztetésekor?,A kérelem (6. melléklet) és a feladatlap (4. melléklet) benyújtása szükséges.
Milyen munkákat tartalmaz a feladatlap?,A feladatlap a tanszéki felelős és a gyakorlóhelyi konzulens által összeállított munkákat tartalmazza.
Mire kell a hallgatóknak napra lebontott munkanaplót vezetniük?,A munkanapló vezetése a szakmai gyakorlat alatti munka dokumentálására szolgál.
Ki igazolja a munkanapló hitelességét a szakmai gyakorlat végén?,A munkanapló hitelességét a gyakorlóhelyi konzulens aláírása igazolja.
Ki kell aláírnia a munkanaplót iskolai szövetkezeten keresztüli gyakorlat esetén?,A munkanaplót iskolai szövetkezeten keresztüli gyakorlat esetén is a gyakorlóhelyi konzulensnek kell aláírnia.
Ki felügyeli és irányítja a hallgatókat a szakmai gyakorlat alatt?,A hallgatók a gyakorlóhelyi konzulens felügyelete és irányítása mellett dolgoznak.
Mikre kötelesek a hallgatók a szakmai gyakorlat alatt?,A hallgatóknak kötelesek betartani a gyakorlóhelyi baleset- és munkavédelmi szabályokat.
Milyen nyelven készülhet a beszámoló a szakmai gyakorlat végén?,"A beszámoló bármely oktatási nyelven megírható, előzetes hozzájárulás esetén idegen nyelven is."
Miket kell beadni a szakmai gyakorlathoz?,"A hallgatónak be kell nyújtania a munkanaplót, a beszámolót és az értékelést a tanszékére."
Milyen határidőt kell figyelembe venni a beadáshoz?,"A beadási határidőt a tanszéki szakmaigyakorlat-felelős határozza meg, figyelembe véve az egyetemi munkarendet."
Melyik személy dönti el a beszámoló elfogadását?,"A beszámoló elfogadásáról a tanszéki felelős dönt, de előtte azt a hallgató tanszéki konzulensével véleményeztetheti."
Milyen dokumentumokat kell benyújtani a hallgatónak?,"A hallgatónak be kell nyújtania a munkanaplót, a beszámolót és az értékelést a tanszékére."
Milyen dokumentumokat kell előkészíteni és terjeszteni aláírásra a dékán elé?,"Előkészítik, és a dékán elé terjesztik aláírásra a gyakorlóhelyekkel illetve az iskolaszövetkezetekkel kötendő együttműködési megállapodási szerződéseket, szerződésmódosításokat."
Milyen feladatot ellátnak a tanszékek a hallgatók jelentkezésével kapcsolatban?,"A tanszékek fogadják a hallgatók jelentkezését, elvégzik besorolásukat és ellátják őket a munkakezdéshez szükséges információkkal."
Ki jelölheti ki a tanszéki konzulenst a hallgató szakmai gyakorlatának ellenőrzésére?,"A tanszékek jelölhetnek ki tanszéki konzulenst a hallgató szakmai gyakorlatának ellenőrzésére, praktikusan a hallgató szakdolgozat, önálló laboratórium vagy TDK munka témavezetőjét."
Milyen alapján értékelik a szakmai gyakorlatot?,Az írásos beszámolók alapján értékelik a szakmai gyakorlatot.
Mikor igazolhatja a gyakorlóhelyi konzulens a beszámolót?,A gyakorlóhelyi konzulens aláírásával igazolhatja a beszámolót.
"Hová kell benyújtani a munkanaplót, a beszámolót és az értékelést?","A munkanaplót, a beszámolót és az értékelést a hallgató anyatanszékére kell benyújtani."
Mi alapján értékelik a szakmai gyakorlatot?,Az írásos beszámolók alapján értékelik a szakmai gyakorlatot.
Milyen igazolást kell adni a sikeres szakmai gyakorlat elvégzéséről?,A szakmai gyakorlat sikeres elvégzését az aláírás bevitelével igazolják a Neptunban.
Ki készít összesítő jelentést a szakmai gyakorlatról?,A tanszéki felelős készít összesítő jelentést a szakmai gyakorlatról.
Kihez küldik el az összesítő jelentést a szakmai gyakorlatról?,Az összesítő jelentést el küldik a kari felelősnek is.
Milyen feladatokkal foglalkozik a kari szakmai gyakorlat-felelős?,"A kari szakmai gyakorlat-felelős felügyeli a szakmai gyakorlat zökkenőmentes lebonyolítását, nyilvántartja a gyakorlóhelyeket és készít tájékoztatókat a hallgatók számára."
Mikor engedélyezhető a szabályzattól történő eltérés?,Az egyedi esetekben indokoltan engedélyezhető a szabályzattól történő eltérés.
Mire szolgál az együttműködési megállapodás?,Az együttműködési megállapodás a gyakorlóhellyel vagy iskolaszövetkezettel történő együttműködést szabályozza.
Milyen adatok szükségesek a hallgató adatainál?,"A hallgató nevére, Neptun kódjára, e-mail címére, főspecializációjára és az ágazat/tanszék nevére van szükség."
Milyen adatok szükségesek a gyakorlóhely/iskolaszövetkezet adatainál?,"A gyakorlóhely/iskolaszövetkezet elnevezésére, székhelyére, adószámára, bankszámlaszámára, statisztikai számjelére és cégjegyzékszámára/nyilvántartási számára van szükség."
Mi a kapcsolattartó feladata?,A kapcsolattartó feladata a gyakorlóhely/iskolaszövetkezet képviselőjeként való kommunikáció és a szükséges adatok megadása.
Mik az elérhetőségi adatok a kapcsolattartóval kapcsolatban?,"Telefonszám, faxszám, e-mail cím."
Melyik tanulmányi szak hallgatói számára elérhető a szakmai gyakorlat?,A villamosmérnöki mesterképzési és egészségügyi mérnöki mesterképzési szak hallgatói számára.
Milyen adatokat kell megadni a hallgatónak?,"Név, Neptun kód, e-mail cím, főspecializáció/szak, tanszék, szakmai gyakorlat kezdési és befejezési dátum, aláírás."
Milyen adatokat kell megadni a gyakorlóhelynek?,"Név, cím, telefon, fax, e-mail, szakmai gyakorlat szempontjából releváns tevékenységi kör."
Mi a szakmai gyakorlat témájának címe?,A szakmai gyakorlat témájának címét a hallgató adja meg.
Kik a gyakorlóhelyi konzulens adatai?,"Név, beosztás, telefon, fax, e-mail, aláírás."
Milyen határozatot kell meghozni a szakmai gyakorlattal kapcsolatban?,A Budapesti Műszaki Egyetem Villamosmérnöki és Informatikai Kara hozzájárul vagy nem járul hozzá a hallgató szakmai gyakorlatához.
Melyik kar hozzájárul a szakmai gyakorlathoz?,A Budapesti Műszaki Egyetem Villamosmérnöki és Informatikai Kara.
Mik az elvárások a szakmai gyakorlattal kapcsolatban?,"A hallgatónak szakmai gyakorlati feladatokat kell ellátnia, beszámolót kell készítenie és azt igazolnia."
