Question,Answer
Milyen egyéb teendőm van az együttműködési megállapodással kapcsolatban?,"Beadás után nincs további teendőd, a cégnek kell aláírnia a megállapodást."
Lehet-e elkezdeni a szakmai gyakorlatot az őszi félévben?,"Igen, van rá lehetőség, hogy most kezd el a gyakorlatot és a tavaszi félévben kapd meg az aláírást."
Mikor érdemes új témát felvenni?,"Érdemes megvárni, míg a megállapodást a cég aláírja, de már most is fel tudsz venni új témát."
Melyik tanszék weboldalán találom meg a szakmai gyakorlattal kapcsolatos információkat?,A specializációját gondozó tanszék weboldalán találja meg a szükséges információkat.
Hol találom meg az együttműködési megállapodásról szóló nyilvános listát?,Az együttműködési megállapodásról szóló nyilvános lista a következő linken érhető el: https://vik.bme.hu/document/5612/original/BME_VIK_szakmai_gyakorlóhelyek_20230719.pdf
Milyen dokumentum tartalmazza az együttműködési megállapodást?,Az együttműködési megállapodást az alábbi nyilvános listából lehet ellenőrizni: https://vik.bme.hu/document/5612/original/BME_VIK_szakmai_gyakorlóhelyek_20230719.pdf
Milyen követelményeknek kell megfelelnie a hallgatónak a szakmai gyakorlat elvégzéséhez?,"A hallgatónak meg kell felelnie a szakmai gyakorlati hely által előírt követelményeknek, feladatokat kell elvégeznie, és erről beszámolót kell készítenie."
Melyik tanszékhez kapcsolódóan tudom elvégezni a gyakorlatot?,A gyakorlatot a specializációd anyatanszékén kell végezned.
Milyen dokumentumot kell kitölteni a szakmai gyakorlat igényléséhez?,Az 1. számú kérelmet kell kitölteni és elküldeni.
Mi a teendő a melléklettel?,A mellékletet ki kell tölteni és leadni aláírásra a QB207-be.
"Mi a teendő, ha nem töltenék ki az utolsó oldalt a mellékletnek?","Az utolsó oldalt ki kell tölteni, függetlenül attól, hogy van érvényes megállapodás vagy sem."
"Mi a teendő, ha nem sikerül időben leadni a kezdési dokumentumot?",Ilyen esetben kérheted az engedélyt a gyakorlati anyag utólagos leadására.
Melyik dokumentumot kell csatolni az engedélykérelemhez?,A kérvényhez csatolnod kell a szakmai gyakorlat anyagát.
Ki fogja elbírálni az engedélykérelmet?,Az engedélykérelmet az illetékes személy fogja elbírálni.
Milyen dokumentumot kell elküldeni a tárgy elfogadtatásához?,"A Neptunban lekérdezhető BSc-s Tárgyteljesítési lapot kell elküldeni, amelyen szerepel, hogy elvégezted a szakmai gyakorlatot és a félév végén bekerül az aláírásod."
Mi a különbség a BSc-s és MSc-s szakmai gyakorlat időtartama között?,"A BSc-s tárgyhoz 6 hetes gyakorlat szükséges, míg az MSc-s tárgyhoz csak 4 hetes."
Miért nem jelent meg a témáim között semmi a szakmai gyakorlat weboldalon?,"Lehet, hogy a cég, ahol dolgozol, még nem adta be a témákat a rendszerbe, vagy lehet, hogy valami technikai probléma van a weboldalon."
Mikor kaptam volna további utasításokat a szakmai gyakorlati helyemről?,"Lehet, hogy azért nem kaptál további utasításokat, mert a cég még nem küldött neked semmit, vagy lehet, hogy valami félreértés történt a kommunikáció során."
Miért nem vettem fel témát a céghez?,"Előfordulhatott, hogy valami félreértés történt, és ezért nem vetted fel még a témát a céghez."
Milyen esetben engedélyezhető az emelet óraszámban történő teljesítése?,Az emelt óraszámban történő teljesítés csak különösen indokolt esetben engedélyezhető.
"Mi történik, ha belecsúszok a vizsgaidőszakba a szakmai gyakorlattal?","Amennyiben belecsúszol a vizsgaidőszakba, akkor a következő félévben felveheted újra a tárgyat és megkaphatod az aláírást."
Mennyi órát lehet teljesíteni a szorgalmi időszakban a szakmai gyakorlattal?,A szabályzat szerint heti maximum 20 óra teljesíthető a szorgalmi időszakban.
"Mi a teendő, ha nem láttam a céget a gyakorlóhelyek között?",Ilyen esetben neked kell kérvényezned a kari felelős felé.
Milyen adatokra van szüksége a kérvényhez?,"A cég neve és címe, valamint a céges adminisztratív kapcsolattartó neve, e-mail címe és telefonszáma szükségesek."
Milyen teendőim vannak a szakmai gyakorlattal kapcsolatban?,"El kell számolnod a szakmai gyakorlatoddal, valamint beszámolót kell készítened hozzá."
Mikor kell kérvényeznem a szakmai gyakorlatot?,A szakmai gyakorlatot a cégnél megkezdése előtt kell kérvényezned.
Milyen dokumentációkat kell újra leadnom az előző félévről?,"Ha újra felvetted a szakmai gyakorlatot, akkor frissített dátumokkal kell újra feltöltened a jelentkezési lapot és feladatlapot."
Milyen feladatokat kell elvégezni a szakmai gyakorlaton?,"A szakmai gyakorlati helyen a szakmai gyakorlati feladatokat kell elvégezni és azt igazolni, illetve beszámolót kell készíteni hozzá."
Hol lehet végezni a szakmai gyakorlatot?,"Lehet végezni egyetemen kívüli helyeken, cégeknél, de akár az egyetemen is."
Mikor kell jelentkezni a szakmai gyakorlatra?,A szakmai gyakorlatra jelentkezni a félév kezdetekor kell.
Mennyi időt kell eltölteni a szakmai gyakorlaton hetente?,"A szakmai gyakorlaton heti 20 órát kell eltölteni félév közben, nyáron 40-et."
Hogyan kell igazolni a szakmai gyakorlat elvégzését?,"A szakmai gyakorlati helyen a feladatokat el kell végezni és azt igazolni kell, illetve beszámolót kell készíteni hozzá."
"Mi a teendő, ha szeretnék több órát dolgozni a szakmai gyakorlaton félév közben?",Kérnie kell engedélyt a heti 20 óránál magasabb óraszámban történő munkavégzésre.
Milyen óraszámban lehet elszámolni a munkát a szakmai gyakorlaton félév közben?,"A heti 20 óra az elfogadott maximum óraszám, de kérés esetén ennél több órát is elszámolhat."
Hol kell leadni a két példányt a céges keretszerződésből?,Az AUT titkárságon (Q B207) kell leadni a két példányt.
Milyen változatot kell eljuttatni az aláírás után a cégnek?,"Az egyik példányt, aláírás után, visszaküldjük a cégnek."
Mikor kell felvenni a szakmai gyakorlat tárgyat?,"A szakmai gyakorlat tárgyat a szakmai gyakorlat félévében kell felvenni, nyári gyakorlat esetén pedig a következő őszi félévben."
"Mi történik, ha nem lett lepapírozva a szakmai gyakorlat?",Sajnos a korábban végzett munkát nem lehet utólagosan dokumentálni.
"Lehetséges, hogy a cég lepapírozza visszamenőleg a szakmai gyakorlatot?","Igen, a cég szívesen lepapírozza visszamenőleg a szakmai gyakorlatot."
Milyen visszajelzést kapok a kérelmemről?,"Csak akkor kapsz visszajelzést, ha valami probléma van."
Hogyan intézik automatikusan a kérelmet?,A legtöbb kérelmet automatikusan befogadjuk és intézzük.
Hogyan kapok visszaigazolást a gyakorlóhellyel kapcsolatos kérelmemről?,"Jelenleg csak akkor kapsz visszajelzést, ha valami probléma van."
Mire van szükség a szakmai gyakorlat megkezdéséhez?,A szakmai gyakorlat megkezdéséhez szükséges együttműködési megállapodást kötni a gyakorlóhellyel és az iskolaszövetkezettel.
"Kell-e külön szerződést kötni, ha a Schönherz iskolaszövetkezeten keresztül vagyok a cégnél?","Igen, a cégnél külön szerződést kell kötni."
Milyen adatokra van szükség a megállapodás megkötéséhez?,"A cég nevére, címére, a céges adminisztratív kapcsolattartó nevére, telefonszámára és e-mail címére van szükség."
Milyen dokumentummal kell rendelkeznie a gyakorlóhelynek?,A gyakorlóhelynek érvényes együttműködési megállapodással kell rendelkeznie függetlenül az iskolaszövetkezettől.
Milyen esetben választhat alternatív gyakorlóhelyet?,"Ha a kiszemelt gyakorlóhely nem szerepel a kari listán, akkor lehetőség van alternatív gyakorlóhely választására."
Mi a hivatalos sablon elérhetősége az együttműködési megállapodáshoz?,A hivatalos sablon elérhető itt: https://vik.bme.hu/document/5488/original/VIK-CEG_szakmai_gyakorlat_keretmegallapodas_form_2023.pdf
Mikor lehet elkezdeni a szakmai gyakorlatot?,A szakmai gyakorlatot a szorgalmi időszakban lehet elkezdeni vagy nyáron.
"Mi a teendő abban az esetben, ha már dolgozom egy cégnél fél éve és náluk szeretném teljesíteni a szakmai gyakorlatomat?","Ha a cégnek van együttműködési megállapodása a VIK-kel, akkor nem kell egyebet kötni velük."
Milyen szerződést kell megkötnöm a cégemmel a szakmai gyakorlat miatt?,A további teendőket megtalálod az itt lévő preziben: https://www.aut.bme.hu/SzakmaiGyakorlat/.
Mikor kell felvenni a szakmai gyakorlat tárgyat?,"A szakmai gyakorlat félévében, nyári gyakorlat esetén a következő őszi félévben."
Mikor kell regisztrálni a szakmai gyakorlati helyet?,A regisztrációt a gyakorlati helyen végzett munka megkezdése előtt kell elvégezni.
Melyik linken találhatók a gyakorlattal kapcsolatos adminisztrációs feladatok?,A gyakorlattal kapcsolatos adminisztrációs feladatokat az alábbi linken található prezi összegzi: https://www.aut.bme.hu/SzakmaiGyakorlat/
Mikortól és meddig lehet teljesíteni a gyakorlatot?,"A gyakorlatot a regisztrációs hét elejétől lehet elkezdeni, a pótlási hétig lehet teljesíteni."
Milyen dokumentumokat kell leadni?,"15-20 oldalas beszámoló a végzett munkáról, napi bontású, a külső konzulenssel hitelesített munkanapló, a külső konzulens által készített értékelő jelentés."
Mikor lehet folytatni a munkát vizsgaidőszakban?,"A munkát lehet folytatni vizsgaidőszakban is, és legrosszabb esetben tavasszal kapod meg az aláírást."
Mire kell gondolni a 'specializáció' alatt a feladatlapon?,A 'specializáció' alatt a feladatlapon a saját szakmai specializációdra kell gondolnod.
Mennyi munkát lehet elszámolni a szorgalmi időszakban?,"A szorgalmi időszakban csak a mintatanterv szerinti 7. félév után lehet heti 40 óra munkát elszámolni, ha már teljesítetted a szakdolgozat tárgyat is."
"Mennyi órát dolgozhatok a szakmai gyakorlaton, ha nem a mintatanterv szerint haladtam?","Ha nem a mintatanterv szerint haladtál, és még van pár órád a 8. félév előtt, akkor 8 órát dolgozhatsz a szakmai gyakorlaton."
Lehet-e a szakmai gyakorlatot csak a nyári szünet után kezdeni és a következő félévben befejezni?,"Igen, lehetséges a szakmai gyakorlatot a nyári szünet után kezdeni és a következő félévben befejezni."
Mennyi oldalas kell lennie a szakmai dokumentációnak?,"A szakmai dokumentációnak 15-20 oldalasnak kell lennie, és le kell írnia a teljes szakmai gyakorlat alatt végzett munkát."
Mikor lehet elkezdeni a szakmai gyakorlatot?,A szakmai gyakorlatot a feladatlap aláírása után lehet elkezdeni vezetni a munkanaplóban.
Ki legyen feltüntetve a feladatlapon?,A feladatlapon a saját önálló laboratóriumod konzulense legyen feltüntetve.
Mikor lehet heti 40 órát elszámolni a szorgalmi időszakban?,A mintatanterv szerinti 7. félév után lehet csak heti 40 óra munkát elszámolni a szorgalmi időszakban.
Milyen dokumentumok szükségesek a szakmai gyakorlat sikeres elvégzéséhez?,"A szakmai gyakorlat sikeres elvégzéséhez szükséges a feladatlap, munkanapló, igazolás és szakmai dokumentáció."
Mikor lehet elkezdeni a szakmai gyakorlatot?,A szakmai gyakorlatot a feladatlap aláírása után lehet elkezdeni vezetni a munkanaplóban.
"Milyen papírokat kell kitölteni, ha a szakmai gyakorlat helye nincs szerződtetve az egyetemmel?","Ha a szakmai gyakorlat helye nincs szerződtetve az egyetemmel, akkor a megállapodásokat kell kitöltened a két féllel."
Lehetnek beszámítva a már ledolgozott órák a szakmai gyakorlatba?,"Bizonyos kollégák információja szerint ez megoldható, de érdemes erről biztos forrásból tájékozódni."
Mi szükséges a BSc-n végzett szakmai gyakorlat beszámításához az MSc-n?,"A BSc-n végzett szakmai gyakorlat beszámítható az MSc-n, ehhez szükséges a Neptunból lekérdezhető tárgyteljesítési lapot elküldeni e-mailben, amelyben szerepel, hogy a gyakorlatot már teljesítetted a BSc-n."
"Mi a teendő, ha elfelejtettem feltölteni a szükséges papírokat a nyári gyakorlathoz?","Amennyiben minden dokumentum ki lett állítva időben, akkor utólag nyithatsz témát (az őszi időszak is jó lesz) és feltöltheted őket."
Mikor és hol tudom leadni a szakmai gyakorlat keretmegállapodást?,Az AUT tanszék titkárságán tudod leadni. Q épület B szárny 207-es szobában.
Van lehetőség elkezdeni a szakmai gyakorlatot a vizsgaidőszakban?,"Igen, minden további nélkül elkezdheted a gyakorlatot a héten."
Milyen adatokat kell elküldeni a cégnek?,"Küldd el a tanszéki felelősnek a cég nevét és címét, valamint a céges adminisztratív kapcsolattartó nevét, telefonszámát és e-mail címét."
"Mi a teendő, ha a cég nem szerepel a kari együttműködési listán?","Ha a cég nem szerepel a kari együttműködési listán, akkor érdemes megkeresni a kari koordinátort és konzultálni vele az ügyben."
Mikor kell felvenni a szakmai gyakorlat tárgyat?,"A szakmai gyakorlat tárgyat a szakmai gyakorlat félévében kell felvenni, nyári gyakorlat esetén pedig a következő őszi félévben."
Milyen információt kell tartalmaznia a tárgyteljesítési lapnak?,"A tárgyteljesítési lapon szerepelnie kell, hogy elvégezted a BSc képzésen a szakmai gyakorlatot."
Hogy kell kitölteni a megállapodást?,"A megállapodásban szereplő adatokat pontosan és teljesen kell kitölteni, beleértve a hallgató és a gyakorlati hely adatait is."
Milyen dokumentumokat kell még csatolni a kérelemhez?,"Amennyiben szükséges, csatolni kell további dokumentumokat is a kérelemhez, amelyek a szakmai gyakorlati hely és tevékenység részletes bemutatását szolgálják."
"Milyen lehetőségek vannak, ha nem tudom tartani a pótlási hetet a szakmai gyakorlatommal kapcsolatban?","Ha jövőre is hallgató leszel még, akkor legrosszabb esetben a következő félévben kapod meg az aláírást."
Milyen esetben lehet emelni a heti óraszám limitet?,"Ha idén záróvizsgázol, akkor kérheted a heti óraszám limit megemelését."
Mikor kell felvenni a szakmai gyakorlat tárgyat?,"A szakmai gyakorlat félévében, nyári gyakorlat esetén a következő őszi félévben."
Mik a jelentkezési és teljesítési követelmények?,A jelentkezési követelmények a megfelelő szakmai gyakorlati hely megtalálása és a szükséges dokumentumok benyújtása. A teljesítési követelmények a gyakorlati feladatok sikeres elvégzése és az erről szóló beszámoló készítése.
Mi a határidő a Neptunba történő aláírásra?,A pótlási hét végéig kell bekerülnie az aláírásodnak a Neptunba.
Ki lehet a belső konzulens az EÜ mérnök hallgatók esetében?,"A belső konzulensnek Semmelweis-es oktatónak vagy a kutatócsoportban dolgozó személynek kell lennie, de a vállalati konzulens lehet más személy."
Mikor kell megkérdezni a tanszéki felelőst?,Ha chatbot nem nyújt kielégítő válaszokat.
"Mit kell tennem, ha még nem volt önlabom és specializációban sem vagyok?","Ha még nem volt önlabod és nincs specializációd, de kaptál engedélyt a szakmai gyakorlatra, akkor a tanszéki konzulenst kell beírnod."
"Van lehetőség arra, hogy a hallgató utólagosan leadja a külföldi szakmai gyakorlatos kérelmet és feladatlapot?","Nincs lehetőség utólagosan leadni a kérelmet és feladatlapot, mivel ez adminisztrációs korlátokba ütközik."
"Van lehetőség arra, hogy a hallgató a szorgalmi időszakban teljesítse a szakmai gyakorlatot?","Igen, a hallgatónak van lehetősége a szorgalmi időszakban 20 órában maximalizált munkarend mellett teljesíteni a szakmai gyakorlatot."
Melyik intézményen belül kell eljuttatni a kitöltött együttműködési megállapodási kérelmet?,Az egyetemen belül a megfelelő kari koordinátorhoz kell eljuttatni.
Hogyan kell elkészíteni a beszámolót a szakmai gyakorlatról?,"A beszámolót a hallgatónak kell elkészíteni, amelyben összefoglalja a szakmai gyakorlati tapasztalatait és eredményeit."
Hogyan lehet egyeztetni a szakmai gyakorlat időpontját és helyszínét?,"A szakmai gyakorlat időpontját és helyszínét a hallgatónak és a gyakorlati hely fogadó személyének kell egyeztetnie, majd ezt kell rögzíteni az együttműködési megállapodásban."
Hogyan kell benyújtani a kérelmet a tanszéki listán nem szereplő gyakorlóhelyért?,"A kérelmet fizikai formában kell benyújtani a kari adminisztrációhoz, vagy scannelt formában emailben elküldeni."
Mikor kell elvégezni a szakmai gyakorlatot a BSc alatt?,Specializácóra kerülés után
Melyik weboldalon találom a további információkat a szakmai gyakorlattal kapcsolatban?,A további információkat a szakmai gyakorlattal kapcsolatban megtalálod az alábbi weboldalon: https://www.aut.bme.hu/SzakmaiGyakorlat/
Hogyan tudom felvenni a szakmai gyakorlat tárgyat Neptun-ban?,Tárgyfelvételnél tantárgyfelvételi időszakban lehet felvenni a megfelelő tárgyat.
Milyen óraszámban lehet elvégezni a gyakorlati munkát emelt óraszámban?,Emelt óraszámban heti 24 órában lehet elvégezni a gyakorlaton végzett munkát.
Milyen kérvénnyel lehet igényelni a szakmai gyakorlat óraszámának növelését?,A kérvényt a Neptunon belül lehet igényelni.
Mi a feladata a hallgatónak?,"A szakmai gyakorlati helyen a szakmai gyakorlati feladatokat elvégezze, és azt igazolja, illetve beszámolót készítsen hozzá."
"Mi a teendő, ha az AUT a specializációm anyatanszéke?","Ha az AUT a specializációd anyatanszéke, akkor nálunk kell adminisztrálni a gyakorlatot."
Melyik oldalon kell feltöltenem a dokumentumokat?,A dokumentumokat az alábbi oldalon kell feltöltened: https://www.aut.bme.hu/SzakmaiGyakorlat/
"Mit kell teljesítenem, hogy elkezdhessem a szakmai gyakorlatot?","Először specializációra kell jelentkezned, majd a specializációdhoz kapcsolódó szakmai gyakorlatot kell vállalnod."
Mikor kell feltölteni a beszámolót a szakmai gyakorlat portálra?,"A regisztrációs hét végéig, tehát az adott szemeszterben a következő félév első hetéig."
"Mi a teendő, ha valaki nem tudja időben elkészíteni a beszámolót?",Kérhet pár nap haladékot a beszámoló elkészítéséhez és feltöltéséhez.
Milyen formátumú legyen a beszámoló?,A beszámoló formátuma a szakdolgozat/diplomaterv sablonnal kell megegyezzen.
Mennyire hosszú legyen a beszámoló?,A beszámoló terjedelme legalább 15 oldal legyen.
Milyen dátumokat kell feltüntetni az Értékelő lapra?,Az eredetileg tervezett dátumokat kell megadni az Értékelő lapra.
Mikor fog kiderülni a valós időtartam a gyakorlatról?,A valós időtartam a munkanaplóként leadott excel táblázatból fog kiderülni.
"Mi a teendő, ha a szkennelt változat nem megfelelő?","Ha a szkennelt változat nem megfelelő, akkor digitálisan aláírt változatot kell küldeni."
Milyen formában lehet elküldeni az együttműködési megállapodást?,"Az együttműködési megállapodást emailben is lehet elküldeni, ha scannelt formában is megfelel."
Lehet-e lejelentkezni a témáról és váltani másik cégre?,"Igen, lehetőség van lejelentkezni a témáról és újrakezdeni másik cégnél."
"Mi a teendő, ha az új cégtől még nem kaptam választ?","Ha még nem kaptál választ az új cégtől, akkor érdemes dokumentálni a mostani munkahelyen végzett szakmai gyakorlatot is, hogy biztosan teljesítsd az előírt óraszámot."
Van lehetőség két helyen teljesíteni az óraszámot?,"Nincs információ arról, hogy lehet-e két helyen teljesíteni az óraszámot. Ajánlott azonban az előírt óraszámot egy helyen teljesíteni, hogy biztosan meglegyen a szükséges munkatapasztalat."
"Mi a teendőm, ha nem tudom teljesíteni a 320 órát a félév végéig?","Ilyen esetben érdemes felvenni a kapcsolatot a tanszékkel, hogy egyedi megoldást találjatok."
Milyen feltételekkel emelhető meg a heti óra limit a szakmai gyakorlaton?,"Ezt a tanszékkel kell egyeztetni, és indokolni kell, hogy miért van szükség több órára."
Mi a határidő a dokumentumok feltöltésére?,"A regisztrációs hét végéig kell feltölteni az igazoló dokumentumokat, de későbbi leadás is lehetséges."
"Mi a teendő, ha a munkanapló lepecsételése több hetet vesz igénybe?","Amennyiben a munkanapló lepecsételése hosszabb időt vesz igénybe, elfogadható a késedelmes leadás."
Kell-e pecsét a munkanaplóhoz?,"Igen, szükséges a munkanapló lepecsételése."
Lehet-e később beadni a munkanaplót?,"Igen, van lehetőség a munkanapló későbbi leadására, ha szükséges."
Megjelölhetem a korábbi önlab konzulensem mint tanszéki konzulenst?,"Igen, megjelölheted."
"Ha már véget ért a nyári időszak, mit tegyek, ha még nem érhető el az őszi időszak?","Ha a nyári időszaknak vége, akkor várd meg, amíg az őszi időszak elérhetővé válik, és addig ne írd ki a témát."
Mikor kezdhetem el a munka elszámolását gyakorlatként?,A munka elszámolását gyakorlatként a cég aláírása után kezdheted csak meg.
"Milyen teendőim vannak, ha a cégnél még nincs együttműködési megállapodás a karral?","Ha a cégnél még nincs együttműködési megállapodás a karral, akkor meg kell várnod a megállapodás megkötését, mielőtt leadod a jelentkezési lapot."
"Mi a teendő, ha még nem választható ki a 2023. Ősz téma?","Szükséges megvárni, vagy választható a 2023. Nyár opció is a szakmai gyakorlat során, annak ellenére, hogy szorgalmi időszakban történik."
